id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
bK10L46Q,3529316,2010LQ46,2010 LQ46,,N,N,,,3.154377399102074,2761.9805146683148,OMB,DES=+3529316,1998-02-09-12-07-01,2000-01-01-00-00-00
a0468926,2468926,4689262014WQ428,468926,,N,N,,,3.134464239381741,2281.584304219177,OMB,DES=+2468926,1998-06-09-14-29-40,2000-01-01-00-00-00
bK15AS8B,3819779,2015AB288,2015 AB288,,N,N,,,3.119970126126545,2102.926917526246,OMB,DES=+3819779,1998-07-24-06-26-19,2000-01-01-00-00-00
a0347116,2347116,3471162010JY79,347116,,N,N,,,3.12184089763884,2113.0454593112768,OMB,DES=+2347116,1998-07-21-17-43-39,2000-01-01-00-00-00
a0396230,2396230,3962302014BN12,396230,,N,N,,,3.1347480545653337,2141.870365560549,OMB,DES=+2396230,1998-07-14-12-46-41,2000-01-01-00-00-00
bK00Sb7C,3778186,2000SC377,2000 SC377,,N,N,,,3.5129694498585087,2858.5827204119873,OMB,DES=+3778186,1998-01-16-08-30-14,2000-01-01-00-00-00
a0437251,2437251,4372512012XU65,437251,,N,N,,,3.053246052785143,2102.0023440309,OMB,DES=+2437251,1998-07-24-11-59-10,2000-01-01-00-00-00
bK10M73P,3535514,2010MP73,2010 MP73,,N,N,,,3.057342070982665,2785.5549473672695,OMB,DES=+3535514,1998-02-03-14-40-14,2000-01-01-00-00-00
a0055347,2055347,553472001SH142,55347,,N,N,,,3.73656680873652,2890.584335786409,OMB,DES=+2055347,1998-01-08-08-29-39,2000-01-01-00-00-00
a0374262,2374262,3742622005JP91,374262,,N,N,,,3.239219082376929,2139.084314785421,OMB,DES=+2374262,1998-07-15-05-29-39,2000-01-01-00-00-00
bK15C64M,3789507,2015CM64,2015 CM64,,N,N,,,3.10229672392269,2875.470031875585,OMB,DES=+3789507,1998-01-12-03-10-48,2000-01-01-00-00-00
a0028912,2028912,289122000NL26,28912,,N,N,,,3.165728845560465,2390.445422362347,OMB,DES=+2028912,1998-05-13-09-19-39,2000-01-01-00-00-00
bK10KA3T,3594180,2010KT103,2010 KT103,,N,N,,,3.021535539313345,2946.70043975515,OMB,DES=+3594180,1997-12-25-07-47-51,2000-01-01-00-00-00
a0293400,2293400,2934002007EX72,293400,,N,N,,,3.146840620782982,2138.0964105259673,OMB,DES=+2293400,1998-07-15-11-25-18,2000-01-01-00-00-00
bK17Q58S,3824771,2017QS58,2017 QS58,,N,N,,,3.248361184261833,2831.341836808783,OMB,DES=+3824771,1998-01-23-03-56-57,2000-01-01-00-00-00
bK06RB6F,3400763,2006RF116,2006 RF116,,N,N,,,3.002191145731105,2278.517015731793,OMB,DES=+3400763,1998-06-10-08-53-53,2000-01-01-00-00-00
bK17P24Z,3779526,2017PZ24,2017 PZ24,,N,N,,,3.114216008945401,2122.498040738704,OMB,DES=+3779526,1998-07-19-09-00-43,2000-01-01-00-00-00
bK13E32F,3667734,2013EF32,2013 EF32,,N,N,,,3.187170140915032,2883.1283028988896,OMB,DES=+3667734,1998-01-10-05-13-49,2000-01-01-00-00-00
a0351398,2351398,3513982005EP240,351398,,N,N,,,3.508416724994942,2902.409708519423,OMB,DES=+2351398,1998-01-05-09-32-31,2000-01-01-00-00-00
bK15X95C,3737037,2015XC95,2015 XC95,,N,N,,,3.039162527246795,2303.805411550777,OMB,DES=+3737037,1998-06-04-01-10-04,2000-01-01-00-00-00
bK15FS8A,3723187,2015FA288,2015 FA288,,N,N,,,3.0917811758055604,2104.410701238931,OMB,DES=+3723187,1998-07-23-21-32-09,2000-01-01-00-00-00
a0319386,2319386,3193862006DH202,319386,,N,N,,,3.106659794437973,2123.91051786309,OMB,DES=+2319386,1998-07-19-00-32-13,2000-01-01-00-00-00
a0473282,2473282,4732822015OC5,473282,,N,N,,,3.231892191681973,2889.006085954573,OMB,DES=+2473282,1998-01-08-17-57-49,2000-01-01-00-00-00
a0468518,2468518,4685182005TM122,468518,,N,N,,,3.150259565908432,2331.772919819404,OMB,DES=+2468518,1998-05-28-01-21-45,2000-01-01-00-00-00
a0440729,2440729,4407292006AA71,440729,,N,N,,,3.367946297706748,2325.088638035747,OMB,DES=+2440729,1998-05-29-17-28-06,2000-01-01-00-00-00
a0427896,2427896,4278962005UD36,427896,,N,N,,,3.303224517810471,2848.668252814674,OMB,DES=+2427896,1998-01-18-19-59-26,2000-01-01-00-00-00
a0494913,2494913,4949132008VO40,494913,,N,N,,,3.2278649767412686,2129.775743068795,OMB,DES=+2494913,1998-07-17-13-20-44,2000-01-01-00-00-00
bK14UA4R,3702275,2014UR104,2014 UR104,,N,N,,,3.097822656872427,2870.374343248704,OMB,DES=+3702275,1998-01-13-09-45-15,2000-01-01-00-00-00
a0329081,2329081,3290812011BN34,329081,,N,N,,,3.354969329332267,2387.120250103017,OMB,DES=+2329081,1998-05-14-05-16-43,2000-01-01-00-00-00
bK10V20V,3550878,2010VV20,2010 VV20,,N,N,,,3.0262320944090386,2927.249413326201,OMB,DES=+3550878,1997-12-30-04-30-13,2000-01-01-00-00-00
