id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
bK16Y00D,3766064,2016YD,2016 YD,,N,,,,1.4756881,894.0675933,MCA,DES=+3766064,1999-05-22-11-35-39,2000-01-01-00-00-00
bK10M09B,3594562,2010MB9,2010 MB9,,N,N,,,1.409283415,933.0606727,MCA,DES=+3594562,1999-05-12-17-38-09,2000-01-01-00-00-00
bK14UB5J,3694783,2014UJ115,2014 UJ115,,Y,N,,,0.870148447,971.8749959,APO,DES=+3694783,1999-05-03-00-45-00,2000-01-01-00-00-00
bK11E83U,3575871,2011EU83,2011 EU83,,N,N,,,1.836559498,1005.443505,IMB,DES=+3575871,1999-04-24-15-20-20,2000-01-01-00-00-00
a0088264,2088264,882642001KN20,88264,,Y,N,,,1.176394914,1149.684992,AMO,DES=+2088264,1999-03-19-13-53-24,2000-01-01-00-00-00
a0280488,2280488,2804882004LL31,280488,,N,N,,,1.637907195,1256.805597,MCA,DES=+2280488,1999-02-20-19-09-59,2000-01-01-00-00-00
bK00Y04F,3197497,2000YF4,2000 YF4,,N,N,,,1.545720638,901.2686046,MCA,DES=+3197497,1999-05-20-16-23-18,2000-01-01-00-00-00
a0512370,2512370,5123702016NV56,512370,,N,N,,,1.884672308,1002.036209,IMB,DES=+2512370,1999-04-25-11-46-57,2000-01-01-00-00-00
bK16N30T,3755289,2016NT30,2016 NT30,,N,N,,,2.378735955,2150.75381,OMB,DES=+3755289,1998-07-12-07-28-38,2000-01-01-00-00-00
a0354713,2354713,3547132005SG19,354713,,Y,N,,,1.078526963,1553.194351,AMO,DES=+2354713,1998-12-08-16-50-03,2000-01-01-00-00-00
bK14SE2K,3689352,2014SK142,2014 SK142,,Y,N,,,1.298820889,1280.69588,AMO,DES=+3689352,1999-02-14-19-49-28,2000-01-01-00-00-00
bJ99V12K,3092242,1999VK12,1999 VK12,,Y,N,,,0.502205187,1226.319664,APO,DES=+3092242,1999-02-28-10-04-55,2000-01-01-00-00-00
a0461609,2461609,4616092004UZ9,461609,,N,N,,,1.592546517,951.1099661,MCA,DES=+2461609,1999-05-08-05-20-24,2000-01-01-00-00-00
bK02C04P,3114012,2002CP4,2002 CP4,,Y,N,,,1.083805078,843.7982069,AMO,DES=+3114012,1999-06-04-01-12-38,2000-01-01-00-00-00
bK14X07P,3701884,2014XP7,2014 XP7,,Y,N,,,1.102904111,1462.725744,AMO,DES=+3701884,1998-12-31-07-38-44,2000-01-01-00-00-00
a0508659,2508659,5086592017UD2,508659,,N,N,,,1.864487976,1008.40628,IMB,DES=+2508659,1999-04-23-21-33-44,2000-01-01-00-00-00
bK11G72C,3564216,2011GC72,2011 GC72,,N,N,,,1.495449425,1283.360101,MCA,DES=+3564216,1999-02-14-03-50-21,2000-01-01-00-00-00
bK14E51A,3666810,2014EA51,2014 EA51,,N,N,,,2.471988747,2098.676321,OMB,DES=+3666810,1998-07-25-07-56-32,2000-01-01-00-00-00
bK05N03T,3541770,2005NT3,2005 NT3,,N,N,,,1.476686154,1171.612573,MCA,DES=+3541770,1999-03-14-02-19-28,2000-01-01-00-00-00
bK07X21A,3398084,2007XA21,2007 XA21,,N,N,,,1.675555738,927.3322939,IMB,DES=+3398084,1999-05-14-04-00-22,2000-01-01-00-00-00
bK12Q14Y,3607833,2012QY14,2012 QY14,,Y,N,,,1.253956234,1354.763413,AMO,DES=+3607833,1999-01-27-07-25-10,2000-01-01-00-00-00
bK14P24D,3681220,2014PD24,2014 PD24,,N,N,,,1.599616425,1138.853268,MCA,DES=+3681220,1999-03-22-06-52-49,2000-01-01-00-00-00
bK12R22X,3610537,2012RX22,2012 RX22,,N,N,,,1.614365922,1244.708939,MCA,DES=+3610537,1999-02-23-19-44-46,2000-01-01-00-00-00
bK15T00L,3728907,2015TL,2015 TL,,Y,N,,,1.066937061,811.0121732,AMO,DES=+3728907,1999-06-12-05-55-37,2000-01-01-00-00-00
bK14Wa4A,3699484,2014WA364,2014 WA364,,N,N,,,1.527370542,1284.43029,MCA,DES=+3699484,1999-02-13-21-25-05,2000-01-01-00-00-00
bK13C54M,3627526,2013CM54,2013 CM54,,N,N,,,1.764402466,967.2689519,IMB,DES=+3627526,1999-05-04-04-23-10,2000-01-01-00-00-00
a0239922,2239922,2399222000UW33,239922,,N,N,,,1.829767629,987.9943231,IMB,DES=+2239922,1999-04-29-00-02-02,2000-01-01-00-00-00
a0417816,2417816,4178162007FA,417816,,Y,Y,,,0.917943655,510.6146966,APO,DES=+2417816,1999-08-26-08-18-42,2000-01-01-00-00-00
a0469925,2469925,4699252005YO209,469925,,N,N,,,1.818342871,1027.914538,IMB,DES=+2469925,1999-04-19-00-30-45,2000-01-01-00-00-00
a0298360,2298360,2983602003QV57,298360,,N,N,,,1.802759748,969.5095257,IMB,DES=+2298360,1999-05-03-14-56-34,2000-01-01-00-00-00
bK01W98T,3832434,2001WT98,2001 WT98,,N,N,,,1.703009686,981.5720559,IMB,DES=+3832434,1999-04-30-14-34-03,2000-01-01-00-00-00
bK02RD8K,3220956,2002RK138,2002 RK138,,N,N,,,1.657234967,1545.578645,MCA,DES=+3220956,1998-12-10-14-31-42,2000-01-01-00-00-00
bK13R21C,3647273,2013RC21,2013 RC21,,Y,N,,,0.577099795,472.254714,APO,DES=+3647273,1999-09-04-22-28-18,2000-01-01-00-00-00
a0453130,2453130,4531302008AG27,453130,,N,N,,,1.860907822,1014.266829,IMB,DES=+2453130,1999-04-22-10-23-56,2000-01-01-00-00-00
bK10B82Z,3532818,2010BZ82,2010 BZ82,,N,N,,,1.624254813,1126.805108,MCA,DES=+3532818,1999-03-25-07-10-09,2000-01-01-00-00-00
bK17R14U,3781534,2017RU14,2017 RU14,,N,N,,,1.522556299,1567.145228,MCA,DES=+3781534,1998-12-05-05-07-44,2000-01-01-00-00-00
bK01Y01D,3102705,2001YD1,2001 YD1,,Y,N,,,0.796902597,663.1678728,APO,DES=+3102705,1999-07-19-04-59-33,2000-01-01-00-00-00
a0491585,2491585,4915852012SL6,491585,,N,N,,,1.512259011,1581.793105,MCA,DES=+2491585,1998-12-01-13-14-29,2000-01-01-00-00-00
bK07C49Z,3368187,2007CZ49,2007 CZ49,,Y,N,,,1.086939044,1844.844266,AMO,DES=+3368187,1998-09-26-18-56-04,2000-01-01-00-00-00
bK13H00L,3634943,2013HL,2013 HL,,N,N,,,1.450851642,886.7768297,MCA,DES=+3634943,1999-05-24-07-20-20,2000-01-01-00-00-00
bK13E09S,3630636,2013ES9,2013 ES9,,Y,N,,,1.234108976,712.44722,AMO,DES=+3630636,1999-07-06-21-19-00,2000-01-01-00-00-00
bK14J25R,3670729,2014JR25,2014 JR25,,Y,N,,,0.839408762,1452.406953,APO,DES=+3670729,1999-01-02-21-33-29,2000-01-01-00-00-00
bK04D39R,3833526,2004DR39,2004 DR39,,N,N,,,1.687678899,960.7274175,IMB,DES=+3833526,1999-05-05-19-38-07,2000-01-01-00-00-00
bK15Fd4J,3779929,2015FJ394,2015 FJ394,,N,N,,,1.784444451,942.8834351,IMB,DES=+3779929,1999-05-10-06-41-57,2000-01-01-00-00-00
bK05A03K,3265391,2005AK3,2005 AK3,,Y,N,,,0.912140022,1164.620665,APO,DES=+3265391,1999-03-15-20-16-33,2000-01-01-00-00-00
bK15E03T,3836965,2015ET3,2015 ET3,,Y,N,,,1.222004917,1644.815043,AMO,DES=+3836965,1998-11-15-19-06-36,2000-01-01-00-00-00
bK16S46V,3777993,2016SV46,2016 SV46,,N,N,,,1.62927422,961.9587809,MCA,DES=+3777993,1999-05-05-12-14-50,2000-01-01-00-00-00
a0142944,2142944,1429442002VT69,142944,,N,N,,,1.611603927,1268.906654,MCA,DES=+2142944,1999-02-17-18-33-36,2000-01-01-00-00-00
bK16L53A,3780518,2016LA53,2016 LA53,,N,N,,,1.796353162,988.2911785,IMB,DES=+3780518,1999-04-28-22-15-10,2000-01-01-00-00-00
a0276888,2276888,2768882004RM323,276888,,N,N,,,1.545767678,1473.207503,MCA,DES=+2276888,1998-12-28-16-45-18,2000-01-01-00-00-00
a0405214,2405214,4052142003QC39,405214,,N,N,,,1.796422427,1012.012596,IMB,DES=+2405214,1999-04-22-23-55-27,2000-01-01-00-00-00
bK12UF8Q,3615795,2012UQ158,2012 UQ158,,N,N,,,1.327006608,1177.590317,MCA,DES=+3615795,1999-03-12-14-27-29,2000-01-01-00-00-00
bK17H02E,3774059,2017HE2,2017 HE2,,N,N,,,1.738346773,936.2207215,IMB,DES=+3774059,1999-05-11-22-40-32,2000-01-01-00-00-00
a0450782,2450782,4507822007TW72,450782,,N,N,,,1.748558107,955.1389079,IMB,DES=+2450782,1999-05-07-05-09-59,2000-01-01-00-00-00
bK08T26T,3430494,2008TT26,2008 TT26,,Y,N,,,0.999343334,569.9843355,APO,DES=+3430494,1999-08-11-12-05-38,2000-01-01-00-00-00
bK10E20N,3592915,2010EN20,2010 EN20,,N,N,,,1.33101223,877.719552,MCA,DES=+3592915,1999-05-26-13-40-57,2000-01-01-00-00-00
bK18Q01E,3827095,2018QE1,2018 QE1,,N,N,,,1.435037045,1656.977673,MCA,DES=+3827095,1998-11-12-18-08-03,2000-01-01-00-00-00
bK14UB7D,3695162,2014UD117,2014 UD117,,N,N,,,1.738410148,891.7177082,IMB,DES=+3695162,1999-05-23-01-41-37,2000-01-01-00-00-00
bK17T00U,3782046,2017TU,2017 TU,,N,N,,,1.386818784,1200.13668,MCA,DES=+3782046,1999-03-06-23-10-47,2000-01-01-00-00-00
bK14M11C,3674223,2014MC11,2014 MC11,,N,N,,,1.714242323,964.2133233,IMB,DES=+3674223,1999-05-04-22-43-12,2000-01-01-00-00-00
a0079219,2079219,792191994LN,79219,,N,N,,,1.605789244,967.6954236,MCA,DES=+2079219,1999-05-04-01-49-38,2000-01-01-00-00-00
a0357311,2357311,3573112003DC14,357311,,Y,N,,,1.260559309,1792.01053,AMO,DES=+2357311,1998-10-09-23-56-13,2000-01-01-00-00-00
bK12X55C,3619724,2012XC55,2012 XC55,,Y,N,,,1.240000887,1172.829828,AMO,DES=+3619724,1999-03-13-19-01-15,2000-01-01-00-00-00
bK19A14M,3837963,2019AM14,2019 AM14,,N,N,,,1.686972111,875.9307124,IMB,DES=+3837963,1999-05-27-00-24-56,2000-01-01-00-00-00
