id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
dJ09L010,1000966,C/1909L1BorrellyDaniel,1909 L1,Borrelly-Daniel,,,,C,0.842844,,COM
dJ10A010,1000967,C/1910A1GreatJanuarycomet,1910 A1,Great January comet,,,,C,0.128975,,COM
dJ10P010,1000968,C/1910P1Metcalf,1910 P1,Metcalf,,,,C,1.948013,,COM
dJ11N010,1000969,C/1911N1Kiess,1911 N1,Kiess,,,,C,0.6838309152755084,912150.9270355428,COM
dJ11O010,1000970,C/1911O1Brooks,1911 O1,Brooks,,,,C,0.489429,,COM
dJ11S020,1000971,C/1911S2Quenisset,1911 S2,Quenisset,,,,C,0.787623,,COM
dJ11S030,1000972,C/1911S3Beljawsky,1911 S3,Beljawsky,,,,C,0.30342399999999997,,HYP
dJ12R010,1000973,C/1912R1Gale,1912 R1,Gale,,,,C,0.716079,,HYP
dJ12V010,1000974,C/1912V1Borrelly,1912 V1,Borrelly,,,,C,1.107108,,PAR
dJ13J010,1000975,C/1913J1Schaumasse,1913 J1,Schaumasse,,,,C,1.456831,,COM
dJ13R010,1000976,C/1913R1Metcalf,1913 R1,Metcalf,,,,C,1.35612,,COM
dJ13Y010,1000977,C/1913Y1Delavan,1913 Y1,Delavan,,,,C,1.104459,,HYP
dJ14F010,1000978,C/1914F1Kritzinger,1914 F1,Kritzinger,,,,C,1.1985270000000001,,HYP
dJ14J010,1000979,C/1914J1Zlatinsky,1914 J1,Zlatinsky,,,,C,0.543135,,PAR
dJ14M010,1000980,C/1914M1Neujmin,1914 M1,Neujmin,,,,C,3.7470293696443315,,HYP
dJ14S010,1000981,C/1914S1Campbell,1914 S1,Campbell,,,,C,0.7127560000000001,,COM
dJ15C010,1000982,C/1915C1Mellish,1915 C1,Mellish,,,,C,1.0052860000000001,,HYP
dJ15R010,1000983,C/1915R1Mellish,1915 R1,Mellish,,,,C,0.4649237999999975,,PAR
dJ16G010,1000984,C/1916G1Wolf,1916 G1,Wolf,,,,C,1.686446,,COM
dJ17F010,1000985,C/1917F1Mellish,1917 F1,Mellish,Y,,,C,0.190186,52961.25,HTC
dJ17H010,1000986,C/1917H1Schaumasse,1917 H1,Schaumasse,,,,C,0.764184,,PAR
dJ18L010,1000987,C/1918L1Reid,1918 L1,Reid,,,,C,1.101641,,PAR
dJ18W010,1000988,D/1918W1Schorr,1918 W1,Schorr,,,,D,1.8837840000000001,2436.2175,JFc
dJ19Q020,1000989,C/1919Q2Metcalf,1919 Q2,Metcalf,,,,C,1.115291,,HYP
dJ19Y010,1000990,C/1919Y1Skjellerup,1919 Y1,Skjellerup,,,,C,0.29769,,PAR
dJ20X010,1000991,C/1920X1Skjellerup,1920 X1,Skjellerup,,,,C,1.147892,,COM
dJ21E010,1000992,C/1921E1Reid,1921 E1,Reid,,,,C,1.008457,,HYP
dJ21H010,1000024,C/1921H1Dubiago,1921 H1,Dubiago,Y,,,C,1.113555530170624,19525.333882762152,HTC
dJ22B010,1000993,C/1922B1Reid,1922 B1,Reid,,,,C,1.629083,,COM
dJ22U010,1000994,C/1922U1Baade,1922 U1,Baade,,,,C,2.258720615122495,,HYP
dJ22W010,1000995,C/1922W1Skjellerup,1922 W1,Skjellerup,,,,C,0.9235899999999999,,COM
dJ23T010,1000996,C/1923T1DubiagoBernard,1923 T1,Dubiago-Bernard,,,,C,0.777832,,PAR
dJ24F010,1000997,C/1924F1Reid,1924 F1,Reid,,,,C,1.755695,,COM
dJ24R010,1000998,C/1924R1Finsler,1924 R1,Finsler,,,,C,0.405993,,PAR
dJ25F010,1000999,C/1925F1ShajnComasSola,1925 F1,Shajn-Comas Sola,,,,C,4.180785,,HYP
dJ25F020,1001000,C/1925F2Reid,1925 F2,Reid,,,,C,1.633299,,COM
dJ25G010,1001001,C/1925G1Orkisz,1925 G1,Orkisz,,,,C,1.109477,,HYP
dJ25V010,1001002,C/1925V1WilkPeltier,1925 V1,Wilk-Peltier,,,,C,0.7635689999999999,,HYP
dJ25W010,1001003,C/1925W1VanBiesbroeck,1925 W1,Van Biesbroeck,,,,C,1.566243,,HYP
dJ25X010,1001004,C/1925X1Ensor,1925 X1,Ensor,,,,C,0.322588,,PAR
dJ26B010,1001005,C/1926B1Blathwayt,1926 B1,Blathwayt,,,,C,1.345477,,COM
dJ27A010,1001006,C/1927A1Blathwayt,1927 A1,Blathwayt,,,,C,1.035783371162325,,PAR
dJ27B010,1001007,C/1927B1Reid,1927 B1,Reid,,,,C,0.7485680415503306,,PAR
dJ27E010,1001008,C/1927E1Stearns,1927 E1,Stearns,,,,C,3.683902,,COM
dJ27X010,1001009,C/1927X1SkjellerupMaristany,1927 X1,Skjellerup-Maristany,,,,C,0.17615699999999998,,COM
dJ29Y010,1001010,C/1929Y1Wilk,1929 Y1,Wilk,,,,C,0.672235,,COM
dJ30D010,1001011,C/1930D1PeltierSchwassmannWachmann,1930 D1,Peltier-Schwassmann-Wachmann,,,,C,1.087114,,COM
dJ30E010,1001012,C/1930E1Beyer,1930 E1,Beyer,,,,C,2.078632,,HYP
dJ30F010,1001013,C/1930F1Wilk,1930 F1,Wilk,,,,C,0.48181,177146.25,COM
dJ30L010,1001014,C/1930L1Forbes,1930 L1,Forbes,,,,C,1.1528,,PAR
