E91a   Elliot, J. L., and L. A. Young, 1991, Occultation constraints on atmospheric models for Pluto, BAAS, 23:1216.                                                                                                                                                                                                                                                             
F02a   Fernandez, Y. R., D. C. Jewitt, and S. S. Sheppard, 2002, Thermal properties of Centaurs Asbolus and Chiron, Astron. J., 123:1050-1055.                                                                                                                                                                                                                                   
F10a   Fraser, W. C., and M. E. Brown, 2010, Quaoar:  A rock in the Kuiper belt, Astrophys. J., 714:1547-1550.                                                                                                                                                                                                                                                                   
F13a   Fraser, W. C., K. Batygin, M. E. Brown, and A. Bouchez, 2013, The mass, orbit, and tidal evolution of the Quaoar-Weywot system, Icarus, 222:357-363.                                                                                                                                                                                                                      
F13b   Fornasier, S., et al., 2013, TNOs are cool: A survey of the trans-Neptunian region. VIII. Combined Herschel PACS and SPIRE observations of 9 bright targets at 70-500 um, Astron. & Astrophys., 555:A15.                                                                                                                                                                  
F13c   Fraser, W. C., C. Trujillo, A. W. Stephens, G. Gimeno, M. E. Brown, S. Gwyn, and J. J. Kavelaars, 2013, Limits on Quaoar's atmosphere, Astrophys. J. Lett., 774:L18.                                                                                                                                                                                                      
F14a   Fornasier, S., et al., 2014, The Centaur 10199 Chariklo:  investigation into rotational period, absolute magnitude, and cometary activity, Astron. & Astrophys., 568:L11.                                                                                                                                                                                                 
F16a   Fernandez-Valenzuela, E., J. L. Ortiz, R. Duffard, P. Santos-Sanz, and N. Morales, 2016, 2008 OG19: A highly elongated trans-Neptunian object, Mon. Not. Royal Astron. Soc., 456(3):2354-2360.                                                                                                                                                                            
F17a   Fernandez-Valenzuela, E., J. L. Ortiz, R. Duffard, N. Morales, and P. Santos-Sanz, 2017, Physical properties of centaur (54598) Bienor from photometry, Mon. Not. Royal Astron. Soc., 466:4147-4158.                                                                                                                                                                      
G00a   Groussin, O., S. Peschke, and P. L. Lamy, 2000, Properties of 2060 Chiron from infrared ISOPHOT observations, BAAS, 32:1031.                                                                                                                                                                                                                                              
G04a   Groussin, O., P. Lamy, and L. Jorda, 2004, Properties of the nuclei of Centaurs Chiron and Chariklo, Astron. & Astrophys., 413:1163-1175.                                                                                                                                                                                                                                 
G05a   Grundy, W. M., K. S. Noll, and D. C. Stephens, 2005, Diverse albedos of small trans-neptunian objects, Icarus, 176:184-191.                                                                                                                                                                                                                                               
G06a   Gulbis, A. A. S., et al., 2006, Charon's radius and atmospheric constraints from observations of a stellar occultation, Nature, 439:48-51.                                                                                                                                                                                                                                
G07a   Grundy, W. M., J. A. Stansberry, K. S. Noll, D. C. Stephens, D. E. Trilling, S. D. Kern, J. R. Spencer, D. P. Cruikshank, and H. F. Levison, 2007, The orbit, mass, size, albedo, and density of (65489) Ceto-Phorcys: A tidally-evolved binary Centaur, Icarus, 191:286-297.                                                                                             
G08a   Grundy, W. M., K. S. Noll, J. Virtanen, K. Muinonen, S. D. Kern, D. C. Stephens, J. A. Stansberry, H. F. Levison, and J. R. Spencer, 2008, (42355) Typhon-Echidna:  Scheduling observations for binary orbit determination, Icarus, 197:260-268.                                                                                                                          
G09a   Grundy, W. M., K. S. Noll, M. W. Buie, S. D. Benecchi, D. C. Stephens, and H. F. Levison, 2009, Mutual orbits and masses of six transneptunian binaries, Icarus, 200:627-635.                                                                                                                                                                                             
G11a   Grundy, W. M., K. S. Noll, F. Nimmo, H. G. Roe, M. W. Buie, S. B. Porter, S. D. Benecchi, D. C. Stephens, H. F. Levison, and J. A. Stansberry, 2011, Five new and three improved mutual orbits of transneptunian binaries, Icarus, 213:678-692.                                                                                                                           
G12a   Grundy, W. M., et al., 2012, Mutual events in the cold classical transneptunian binary system Sila and Nunam, Icarus, 220:74-83.                                                                                                                                                                                                                                          
G14a   Grundy, W. M., S. D. Benecchi, S. B. Porter, and K. S. Noll, 2014, The orbit of transneptunian binary Manwe and Thorondor and their upcoming mutual events, Icarus, 237:1-8.                                                                                                                                                                                              
G15a   Grundy, W. M., 2015, TNBs with known P, a, and e, on line at Lowell Observatory [http://www2.lowell.edu/users/grundy/tnbs/pae.html].                                                                                                                                                                                                                                      
G17a   Gerdes, D. W., et al., 2017, Discovery and physical characterization of a large scattered disk object at 92 AU, Astrophys. J. Lett., 839(1):L15.                                                                                                                                                                                                                          
H12a   Howell, S. B., E. P. Horch, M. E. Everett, and D. R. Ciardi, 2012, Speckle camera imaging of the planet Pluto, Publ. Astron. Soc. Pacific, 124:1124-1131.                                                                                                                                                                                                                 
H18a   Hromakina, T., et al., 2018, Photometric observations of nine transneptunian objects and Centaurs, Mon. Not. Royal Astron. Soc., 474(2):2536-2543.                                                                                                                                                                                                                        
